Month,Passengers,Jan,Feb,Mar,apr,may,jun,jul,aug,sep,oct,nov,Dec
Mar-01,267,0,0,1,0,0,0,0,0,0,0,0,0
Apr-01,269,0,0,0,1,0,0,0,0,0,0,0,0
May-01,270,0,0,0,0,1,0,0,0,0,0,0,0
Jun-01,315,0,0,0,0,0,1,0,0,0,0,0,0
Jul-01,364,0,0,0,0,0,0,1,0,0,0,0,0
Aug-01,347,0,0,0,0,0,0,0,1,0,0,0,0
Sep-01,312,0,0,0,0,0,0,0,0,1,0,0,0
Oct-01,274,0,0,0,0,0,0,0,0,0,1,0,0
Nov-01,237,0,0,0,0,0,0,0,0,0,0,1,0
Dec-01,278,0,0,0,0,0,0,0,0,0,0,0,1
Jan-02,284,1,0,0,0,0,0,0,0,0,0,0,0
Feb-02,277,0,1,0,0,0,0,0,0,0,0,0,0
Mar-02,317,0,0,1,0,0,0,0,0,0,0,0,0
Apr-02,313,0,0,0,1,0,0,0,0,0,0,0,0
May-02,318,0,0,0,0,1,0,0,0,0,0,0,0
Jun-02,374,0,0,0,0,0,1,0,0,0,0,0,0
Jul-02,413,0,0,0,0,0,0,1,0,0,0,0,0
Aug-02,405,0,0,0,0,0,0,0,1,0,0,0,0
Sep-02,355,0,0,0,0,0,0,0,0,1,0,0,0
Oct-02,306,0,0,0,0,0,0,0,0,0,1,0,0
Nov-02,271,0,0,0,0,0,0,0,0,0,0,1,0
Dec-02,306,0,0,0,0,0,0,0,0,0,0,0,1
